abilities,attack,classfication,defense,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Water Absorb', 'Damp', 'Drizzle']",75,Frog Pokémon,75,1.1,90,Politoed,50.0,186,90,100,70,water,,33.9,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,Cottonweed Pokémon,40,0.4,35,Hoppip,50.0,187,35,55,50,grass,flying,0.5,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",45,Cottonweed Pokémon,50,0.6,55,Skiploom,50.0,188,45,65,80,grass,flying,1.0,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,Cottonweed Pokémon,70,0.8,75,Jumpluff,50.0,189,55,95,110,grass,flying,3.0,2,0
"['Run Away', 'Pickup', 'Skill Link']",70,Long Tail Pokémon,55,0.8,55,Aipom,50.0,190,40,55,85,normal,,11.5,2,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",30,Seed Pokémon,30,0.3,30,Sunkern,50.0,191,30,30,30,grass,,1.8,2,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",75,Sun Pokémon,55,0.8,75,Sunflora,50.0,192,105,85,30,grass,,8.5,2,0
"['Speed Boost', 'Compoundeyes', 'Frisk']",65,Clear Wing Pokémon,45,1.2,65,Yanma,50.0,193,75,45,95,bug,flying,38.0,2,0
"['Damp', 'Water Absorb', 'Unaware']",45,Water Fish Pokémon,45,0.4,55,Wooper,50.0,194,25,25,15,water,ground,8.5,2,0
"['Damp', 'Water Absorb', 'Unaware']",85,Water Fish Pokémon,85,1.4,95,Quagsire,50.0,195,65,65,35,water,ground,75.0,2,0
"['Synchronize', 'Magic Bounce']",65,Sun Pokémon,60,0.9,65,Espeon,88.1,196,130,95,110,psychic,,26.5,2,0
"['Synchronize', 'Inner Focus']",65,Moonlight Pokémon,110,1.0,95,Umbreon,88.1,197,60,130,65,dark,,27.0,2,0
"['Insomnia', 'Super Luck', 'Prankster']",85,Darkness Pokémon,42,0.5,60,Murkrow,50.0,198,85,42,91,dark,flying,2.1,2,0
"['Oblivious', 'Own Tempo', 'Regenerator']",75,Royal Pokémon,80,2.0,95,Slowking,50.0,199,100,110,30,water,psychic,79.5,2,0
['Levitate'],60,Screech Pokémon,60,0.7,60,Misdreavus,50.0,200,85,85,85,ghost,,1.0,2,0
['Levitate'],72,Symbol Pokémon,48,0.5,48,Unown,,201,72,48,48,psychic,,5.0,2,0
"['Shadow Tag', 'Telepathy']",33,Patient Pokémon,58,1.3,190,Wobbuffet,50.0,202,33,58,33,psychic,,28.5,2,0
"['Inner Focus', 'Early Bird', 'Sap Sipper']",80,Long Neck Pokémon,65,1.5,70,Girafarig,50.0,203,90,65,85,normal,psychic,41.5,2,0
"['Sturdy', 'Overcoat']",65,Bagworm Pokémon,90,0.6,50,Pineco,50.0,204,35,35,15,bug,,7.2,2,0
"['Sturdy', 'Overcoat']",90,Bagworm Pokémon,140,1.2,75,Forretress,50.0,205,60,60,40,bug,steel,125.8,2,0
"['Serene Grace', 'Run Away', 'Rattled']",70,Land Snake Pokémon,70,1.5,100,Dunsparce,50.0,206,65,65,45,normal,,14.0,2,0
"['Hyper Cutter', 'Sand Veil', 'Immunity']",75,Flyscorpion Pokémon,105,1.1,65,Gligar,50.0,207,35,65,85,ground,flying,64.8,2,0
"['Rock Head', 'Sturdy', 'Sheer Force']",125,Iron Snake Pokémon,230,9.2,75,Steelix,50.0,208,55,95,30,steel,ground,400.0,2,0
"['Intimidate', 'Run Away', 'Rattled']",80,Fairy Pokémon,50,0.6,60,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0
"['Intimidate', 'Quick Feet', 'Rattled']",120,Fairy Pokémon,75,1.4,90,Granbull,24.6,210,60,60,45,fairy,,48.7,2,0
"['Poison Point', 'Swift Swim', 'Intimidate']",95,Balloon Pokémon,85,0.5,65,Qwilfish,50.0,211,55,55,85,water,poison,3.9,2,0
"['Swarm', 'Technician', 'Light Metal']",150,Pincer Pokémon,140,1.8,70,Scizor,50.0,212,65,100,75,bug,steel,118.0,2,0
"['Sturdy', 'Gluttony', 'Contrary']",10,Mold Pokémon,230,0.6,20,Shuckle,50.0,213,10,230,5,bug,rock,20.5,2,0
"['Swarm', 'Guts', 'Moxie']",185,Singlehorn Pokémon,115,1.5,80,Heracross,50.0,214,40,105,75,bug,fighting,54.0,2,0
"['Inner Focus', 'Keen Eye', 'Pickpocket']",95,Sharp Claw Pokémon,55,0.9,55,Sneasel,50.0,215,35,75,115,dark,ice,28.0,2,0
"['Pickup', 'Quick Feet', 'Honey Gather']",80,Little Bear Pokémon,50,0.6,60,Teddiursa,50.0,216,50,50,40,normal,,8.8,2,0
"['Guts', 'Quick Feet', 'Unnerve']",130,Hibernator Pokémon,75,1.8,90,Ursaring,50.0,217,75,75,55,normal,,125.8,2,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",40,Lava Pokémon,40,0.7,40,Slugma,50.0,218,70,40,20,fire,,35.0,2,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",50,Lava Pokémon,120,0.8,60,Magcargo,50.0,219,90,80,30,fire,rock,55.0,2,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,Pig Pokémon,40,0.4,50,Swinub,50.0,220,30,30,50,ice,ground,6.5,2,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,Swine Pokémon,80,1.1,100,Piloswine,50.0,221,60,60,50,ice,ground,55.8,2,0
"['Hustle', 'Natural Cure', 'Regenerator']",55,Coral Pokémon,95,0.6,65,Corsola,24.6,222,65,95,35,water,rock,5.0,2,0
"['Hustle', 'Sniper', 'Moody']",65,Jet Pokémon,35,0.6,35,Remoraid,50.0,223,65,35,65,water,,12.0,2,0
"['Suction Cups', 'Sniper', 'Moody']",105,Jet Pokémon,75,0.9,75,Octillery,50.0,224,105,75,45,water,,28.5,2,0
"['Vital Spirit', 'Hustle', 'Insomnia']",55,Delivery Pokémon,45,0.9,45,Delibird,50.0,225,65,45,75,ice,flying,16.0,2,0
"['Swift Swim', 'Water Absorb', 'Water Veil']",40,Kite Pokémon,70,2.1,85,Mantine,50.0,226,80,140,70,water,flying,220.0,2,0
"['Keen Eye', 'Sturdy', 'Weak Armor']",80,Armor Bird Pokémon,140,1.7,65,Skarmory,50.0,227,40,70,70,steel,flying,50.5,2,0
"['Early Bird', 'Flash Fire', 'Unnerve']",60,Dark Pokémon,30,0.6,45,Houndour,50.0,228,80,50,65,dark,fire,10.8,2,0
"['Early Bird', 'Flash Fire', 'Unnerve']",90,Dark Pokémon,90,1.4,75,Houndoom,50.0,229,140,90,115,dark,fire,35.0,2,0
"['Swift Swim', 'Sniper', 'Damp']",95,Dragon Pokémon,95,1.8,75,Kingdra,50.0,230,95,95,85,water,dragon,152.0,2,0
"['Pickup', 'Sand Veil']",60,Long Nose Pokémon,60,0.5,90,Phanpy,50.0,231,40,40,40,ground,,33.5,2,0
"['Sturdy', 'Sand Veil']",120,Armor Pokémon,120,1.1,90,Donphan,50.0,232,60,60,50,ground,,120.0,2,0
"['Trace', 'Download', 'Analytic']",80,Virtual Pokémon,90,0.6,85,Porygon2,,233,105,95,60,normal,,32.5,2,0
"['Intimidate', 'Frisk', 'Sap Sipper']",95,Big Horn Pokémon,62,1.4,73,Stantler,50.0,234,85,65,85,normal,,71.2,2,0
"['Own Tempo', 'Technician', 'Moody']",20,Painter Pokémon,35,1.2,55,Smeargle,50.0,235,20,45,75,normal,,58.0,2,0
"['Guts', 'Steadfast', 'Vital Spirit']",35,Scuffle Pokémon,35,0.7,35,Tyrogue,100.0,236,35,35,35,fighting,,21.0,2,0
"['Intimidate', 'Technician', 'Steadfast']",95,Handstand Pokémon,95,1.4,50,Hitmontop,100.0,237,35,110,70,fighting,,48.0,2,0
"['Oblivious', 'Forewarn', 'Hydration']",30,Kiss Pokémon,15,0.4,45,Smoochum,0.0,238,85,65,65,ice,psychic,6.0,2,0
"['Static', 'Vital Spirit']",63,Electric Pokémon,37,0.6,45,Elekid,75.4,239,65,55,95,electric,,23.5,2,0
"['Flame Body', 'Vital Spirit']",75,Live Coal Pokémon,37,0.7,45,Magby,75.4,240,70,55,83,fire,,21.4,2,0
"['Thick Fat', 'Scrappy', 'Sap Sipper']",80,Milk Cow Pokémon,105,1.2,95,Miltank,0.0,241,40,70,100,normal,,75.5,2,0
"['Natural Cure', 'Serene Grace', 'Healer']",10,Happiness Pokémon,10,1.5,255,Blissey,0.0,242,75,135,55,normal,,46.8,2,0
"['Pressure', 'Inner Focus']",85,Thunder Pokémon,75,1.9,90,Raikou,,243,115,100,115,electric,,178.0,2,1
"['Pressure', 'Inner Focus']",115,Volcano Pokémon,85,2.1,115,Entei,,244,90,75,100,fire,,198.0,2,1
"['Pressure', 'Inner Focus']",75,Aurora Pokémon,115,2.0,100,Suicune,,245,90,115,85,water,,187.0,2,1
"['Guts', 'Sand Veil']",64,Rock Skin Pokémon,50,0.6,50,Larvitar,50.0,246,45,50,41,rock,ground,72.0,2,0
['Shed Skin'],84,Hard Shell Pokémon,70,1.2,70,Pupitar,50.0,247,65,70,51,rock,ground,152.0,2,0
"['Sand Stream', 'Unnerve']",164,Armor Pokémon,150,2.0,100,Tyranitar,50.0,248,95,120,71,rock,dark,202.0,2,0
"['Pressure', 'Multiscale']",90,Diving Pokémon,130,5.2,106,Lugia,,249,90,154,110,psychic,flying,216.0,2,1
"['Pressure', 'Regenerator']",130,Rainbow Pokémon,90,3.8,106,Ho-Oh,,250,110,154,90,fire,flying,199.0,2,1
['Natural Cure'],100,Time Travel Pokémon,100,0.6,100,Celebi,,251,100,100,100,psychic,grass,5.0,2,1
"['Overgrow', 'Unburden']",45,Wood Gecko Pokémon,35,0.5,40,Treecko,88.1,252,65,55,70,grass,,5.0,3,0
"['Overgrow', 'Unburden']",65,Wood Gecko Pokémon,45,0.9,50,Grovyle,88.1,253,85,65,95,grass,,21.6,3,0
"['Overgrow', 'Unburden']",110,Forest Pokémon,75,1.7,70,Sceptile,88.1,254,145,85,145,grass,,52.2,3,0
"['Blaze', 'Speed Boost']",60,Chick Pokémon,40,0.4,45,Torchic,88.1,255,70,50,45,fire,,2.5,3,0
"['Blaze', 'Speed Boost']",85,Young Fowl Pokémon,60,0.9,60,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0
"['Blaze', 'Speed Boost']",160,Blaze Pokémon,80,1.9,80,Blaziken,88.1,257,130,80,100,fire,fighting,52.0,3,0
"['Torrent', 'Damp']",70,Mud Fish Pokémon,50,0.4,50,Mudkip,88.1,258,50,50,40,water,,7.6,3,0
"['Torrent', 'Damp']",85,Mud Fish Pokémon,70,0.7,70,Marshtomp,88.1,259,60,70,50,water,ground,28.0,3,0
"['Torrent', 'Damp']",150,Mud Fish Pokémon,110,1.5,100,Swampert,88.1,260,95,110,70,water,ground,81.9,3,0
"['Run Away', 'Quick Feet', 'Rattled']",55,Bite Pokémon,35,0.5,35,Poochyena,50.0,261,30,30,35,dark,,13.6,3,0
"['Intimidate', 'Quick Feet', 'Moxie']",90,Bite Pokémon,70,1.0,70,Mightyena,50.0,262,60,60,70,dark,,37.0,3,0
"['Pickup', 'Gluttony', 'Quick Feet']",30,Tiny Racoon Pokémon,41,0.4,38,Zigzagoon,50.0,263,30,41,60,normal,,17.5,3,0
"['Pickup', 'Gluttony', 'Quick Feet']",70,Rush Pokémon,61,0.5,78,Linoone,50.0,264,50,61,100,normal,,32.5,3,0
"['Shield Dust', 'Run Away']",45,Worm Pokémon,35,0.3,45,Wurmple,50.0,265,20,30,20,bug,,3.6,3,0
['Shed Skin'],35,Cocoon Pokémon,55,0.6,50,Silcoon,50.0,266,25,25,15,bug,,10.0,3,0
"['Swarm', 'Rivalry']",70,Butterfly Pokémon,50,1.0,60,Beautifly,50.0,267,100,50,65,bug,flying,28.4,3,0
['Shed Skin'],35,Cocoon Pokémon,55,0.7,50,Cascoon,50.0,268,25,25,15,bug,,11.5,3,0
"['Shield Dust', 'Compoundeyes']",50,Poison Moth Pokémon,70,1.2,60,Dustox,50.0,269,50,90,65,bug,poison,31.6,3,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']",30,Water Weed Pokémon,30,0.5,40,Lotad,50.0,270,40,50,30,water,grass,2.6,3,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']",50,Jolly Pokémon,50,1.2,60,Lombre,50.0,271,60,70,50,water,grass,32.5,3,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']",70,Carefree Pokémon,70,1.5,80,Ludicolo,50.0,272,90,100,70,water,grass,55.0,3,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,Acorn Pokémon,50,0.5,40,Seedot,50.0,273,30,30,30,grass,,4.0,3,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,Wily Pokémon,40,1.0,70,Nuzleaf,50.0,274,60,40,60,grass,dark,28.0,3,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",100,Wickid Pokémon,60,1.3,90,Shiftry,50.0,275,90,60,80,grass,dark,59.6,3,0
"['Guts', 'Scrappy']",55,TinySwallow Pokémon,30,0.3,40,Taillow,50.0,276,30,30,85,normal,flying,2.3,3,0
"['Guts', 'Scrappy']",85,Swallow Pokémon,60,0.7,60,Swellow,50.0,277,75,50,125,normal,flying,19.8,3,0
"['Keen Eye', 'Hydration', 'Rain Dish']",30,Seagull Pokémon,30,0.6,40,Wingull,50.0,278,55,30,85,water,flying,9.5,3,0
"['Keen Eye', 'Drizzle', 'Rain Dish']",50,Water Bird Pokémon,100,1.2,60,Pelipper,50.0,279,95,70,65,water,flying,28.0,3,0
"['Synchronize', 'Trace', 'Telepathy']",25,Feeling Pokémon,25,0.4,28,Ralts,50.0,280,45,35,40,psychic,fairy,6.6,3,0
"['Synchronize', 'Trace', 'Telepathy']",35,Emotion Pokémon,35,0.8,38,Kirlia,50.0,281,65,55,50,psychic,fairy,20.2,3,0
"['Synchronize', 'Trace', 'Telepathy']",85,Embrace Pokémon,65,1.6,68,Gardevoir,50.0,282,165,135,100,psychic,fairy,48.4,3,0
"['Swift Swim', 'Rain Dish']",30,Pond Skater Pokémon,32,0.5,40,Surskit,50.0,283,50,52,65,bug,water,1.7,3,0
"['Intimidate', 'Unnerve']",60,Eyeball Pokémon,62,0.8,70,Masquerain,50.0,284,100,82,80,bug,flying,3.6,3,0
"['Effect Spore', 'Poison Heal', 'Quick Feet']",40,Mushroom Pokémon,60,0.4,60,Shroomish,50.0,285,40,60,35,grass,,4.5,3,0
"['Effect Spore', 'Poison Heal', 'Technician']",130,Mushroom Pokémon,80,1.2,60,Breloom,50.0,286,60,60,70,grass,fighting,39.2,3,0
['Truant'],60,Slacker Pokémon,60,0.8,60,Slakoth,50.0,287,35,35,30,normal,,24.0,3,0
['Vital Spirit'],80,Wild Monkey Pokémon,80,1.4,80,Vigoroth,50.0,288,55,55,90,normal,,46.5,3,0
['Truant'],160,Lazy Pokémon,100,2.0,150,Slaking,50.0,289,95,65,100,normal,,130.5,3,0
"['Compoundeyes', 'Run Away']",45,Trainee Pokémon,90,0.5,31,Nincada,50.0,290,30,30,40,bug,ground,5.5,3,0
"['Speed Boost', 'Infiltrator']",90,Ninja Pokémon,45,0.8,61,Ninjask,50.0,291,50,50,160,bug,flying,12.0,3,0
['Wonder Guard'],90,Shed Pokémon,45,0.8,1,Shedinja,,292,30,30,40,bug,ghost,1.2,3,0
"['Soundproof', 'Rattled']",51,Whisper Pokémon,23,0.6,64,Whismur,50.0,293,51,23,28,normal,,16.3,3,0
"['Soundproof', 'Scrappy']",71,Big Voice Pokémon,43,1.0,84,Loudred,50.0,294,71,43,48,normal,,40.5,3,0
"['Soundproof', 'Scrappy']",91,Loud Noise Pokémon,63,1.5,104,Exploud,50.0,295,91,73,68,normal,,84.0,3,0
"['Thick Fat', 'Guts', 'Sheer Force']",60,Guts Pokémon,30,1.0,72,Makuhita,75.4,296,20,30,25,fighting,,86.4,3,0
"['Thick Fat', 'Guts', 'Sheer Force']",120,Arm Thrust Pokémon,60,2.3,144,Hariyama,75.4,297,40,60,50,fighting,,253.8,3,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,Polka Dot Pokémon,40,0.2,50,Azurill,24.6,298,20,40,20,normal,fairy,2.0,3,0
"['Sturdy', 'Magnet Pull', 'Sand Force']",45,Compass Pokémon,135,1.0,30,Nosepass,50.0,299,45,90,30,rock,,97.0,3,0
"['Cute Charm', 'Normalize', 'Wonder Skin ']",45,Kitten Pokémon,45,0.6,50,Skitty,24.6,300,35,35,50,normal,,11.0,3,0
"['Cute Charm', 'Normalize', 'Wonder Skin ']",65,Prim Pokémon,65,1.1,70,Delcatty,24.6,301,55,55,90,normal,,32.6,3,0
"['Keen Eye', 'Stall', 'Prankster']",85,Darkness Pokémon,125,0.5,50,Sableye,50.0,302,85,115,20,dark,ghost,11.0,3,0
"['Hyper Cutter', 'Intimidate', 'Sheer Force']",105,Deceiver Pokémon,125,0.6,50,Mawile,50.0,303,55,95,50,steel,fairy,11.5,3,0
"['Sturdy', 'Rock Head', 'Heavy Metal']",70,Iron Armor Pokémon,100,0.4,50,Aron,50.0,304,40,40,30,steel,rock,60.0,3,0
"['Sturdy', 'Rock Head', 'Heavy Metal']",90,Iron Armor Pokémon,140,0.9,60,Lairon,50.0,305,50,50,40,steel,rock,120.0,3,0
"['Sturdy', 'Rock Head', 'Heavy Metal']",140,Iron Armor Pokémon,230,2.1,70,Aggron,50.0,306,60,80,50,steel,rock,360.0,3,0
"['Pure Power', 'Telepathy']",40,Meditate Pokémon,55,0.6,30,Meditite,50.0,307,40,55,60,fighting,psychic,11.2,3,0
"['Pure Power', 'Telepathy']",100,Meditate Pokémon,85,1.3,60,Medicham,50.0,308,80,85,100,fighting,psychic,31.5,3,0
"['Static', 'Lightningrod', 'Minus']",45,Lightning Pokémon,40,0.6,40,Electrike,50.0,309,65,40,65,electric,,15.2,3,0
"['Static', 'Lightningrod', 'Minus']",75,Discharge Pokémon,80,1.5,70,Manectric,50.0,310,135,80,135,electric,,40.2,3,0
"['Plus', 'Lightningrod']",50,Cheering Pokémon,40,0.4,60,Plusle,50.0,311,85,75,95,electric,,4.2,3,0
"['Minus', 'Volt Absorb']",40,Cheering Pokémon,50,0.4,60,Minun,50.0,312,75,85,95,electric,,4.2,3,0
"['Illuminate', 'Swarm', 'Prankster']",73,Firefly Pokémon,75,0.7,65,Volbeat,100.0,313,47,85,85,bug,,17.7,3,0
"['Oblivious', 'Tinted Lens', 'Prankster']",47,Firefly Pokémon,75,0.6,65,Illumise,0.0,314,73,85,85,bug,,17.7,3,0
"['Natural Cure', 'Poison Point', 'Leaf Guard']",60,Thorn Pokémon,45,0.3,50,Roselia,50.0,315,100,80,65,grass,poison,2.0,3,0
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",43,Stomach Pokémon,53,0.4,70,Gulpin,50.0,316,43,53,40,poison,,10.3,3,0
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",73,Poison Bag Pokémon,83,1.7,100,Swalot,50.0,317,73,83,55,poison,,80.0,3,0
"['Rough Skin', 'Speed Boost']",90,Savage Pokémon,20,0.8,45,Carvanha,50.0,318,65,20,65,water,dark,20.8,3,0
"['Rough Skin', 'Speed Boost']",140,Brutal Pokémon,70,1.8,70,Sharpedo,50.0,319,110,65,105,water,dark,88.8,3,0
"['Water Veil', 'Oblivious', 'Pressure']",70,Ball Whale Pokémon,35,2.0,130,Wailmer,50.0,320,70,35,60,water,,130.0,3,0
"['Water Veil', 'Oblivious', 'Pressure']",90,Float Whale Pokémon,45,14.5,170,Wailord,50.0,321,90,45,60,water,,398.0,3,0
"['Oblivious', 'Simple', 'Own Tempo']",60,Numb Pokémon,40,0.7,60,Numel,50.0,322,65,45,35,fire,ground,24.0,3,0
"['Magma Armor', 'Solid Rock', 'Anger Point']",120,Eruption Pokémon,100,1.9,70,Camerupt,50.0,323,145,105,20,fire,ground,220.0,3,0
"['White Smoke', 'Drought', 'Shell Armor']",85,Coal Pokémon,140,0.5,70,Torkoal,50.0,324,85,70,20,fire,,80.4,3,0
"['Thick Fat', 'Own Tempo', 'Gluttony']",25,Bounce Pokémon,35,0.7,60,Spoink,50.0,325,70,80,60,psychic,,30.6,3,0
"['Thick Fat', 'Own Tempo', 'Gluttony']",45,Manipulate Pokémon,65,0.9,80,Grumpig,50.0,326,90,110,80,psychic,,71.5,3,0
"['Own Tempo', 'Tangled Feet', 'Contrary']",60,Spot Panda Pokémon,60,1.1,60,Spinda,50.0,327,60,60,60,normal,,5.0,3,0
"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",100,Ant Pit Pokémon,45,0.7,45,Trapinch,50.0,328,45,45,10,ground,,15.0,3,0
['Levitate'],70,Vibration Pokémon,50,1.1,50,Vibrava,50.0,329,50,50,70,ground,dragon,15.3,3,0
['Levitate'],100,Mystic Pokémon,80,2.0,80,Flygon,50.0,330,80,80,100,ground,dragon,82.0,3,0
"['Sand Veil', 'Water Absorb']",85,Cactus Pokémon,40,0.4,50,Cacnea,50.0,331,85,40,35,grass,,51.3,3,0
"['Sand Veil', 'Water Absorb']",115,Scarecrow Pokémon,60,1.3,70,Cacturne,50.0,332,115,60,55,grass,dark,77.4,3,0
"['Natural Cure', 'Cloud Nine']",40,Cotton Bird Pokémon,60,0.4,45,Swablu,50.0,333,40,75,50,normal,flying,1.2,3,0
"['Natural Cure', 'Cloud Nine']",110,Humming Pokémon,110,1.1,75,Altaria,50.0,334,110,105,80,dragon,flying,20.6,3,0
"['Immunity', 'Toxic Boost']",115,Cat Ferret Pokémon,60,1.3,73,Zangoose,50.0,335,60,60,90,normal,,40.3,3,0
"['Shed Skin', 'Infiltrator']",100,Fang Snake Pokémon,60,2.7,73,Seviper,50.0,336,100,60,65,poison,,52.5,3,0
['Levitate'],55,Meteorite Pokémon,65,1.0,90,Lunatone,,337,95,85,70,rock,psychic,168.0,3,0
['Levitate'],95,Meteorite Pokémon,85,1.2,90,Solrock,,338,55,65,70,rock,psychic,154.0,3,0
"['Oblivious', 'Anticipation', 'Hydration']",48,Whiskers Pokémon,43,0.4,50,Barboach,50.0,339,46,41,60,water,ground,1.9,3,0
"['Oblivious', 'Anticipation', 'Hydration']",78,Whiskers Pokémon,73,0.9,110,Whiscash,50.0,340,76,71,60,water,ground,23.6,3,0
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",80,Ruffian Pokémon,65,0.6,43,Corphish,50.0,341,50,35,35,water,,11.5,3,0
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",120,Rogue Pokémon,85,1.1,63,Crawdaunt,50.0,342,90,55,55,water,dark,32.8,3,0
['Levitate'],40,Clay Doll Pokémon,55,0.5,40,Baltoy,,343,40,70,55,ground,psychic,21.5,3,0
['Levitate'],70,Clay Doll Pokémon,105,1.5,60,Claydol,,344,70,120,75,ground,psychic,108.0,3,0
"['Suction Cups', 'Storm Drain']",41,Sea Lily Pokémon,77,1.0,66,Lileep,88.1,345,61,87,23,rock,grass,23.8,3,0
"['Suction Cups', 'Storm Drain']",81,Barnacle Pokémon,97,1.5,86,Cradily,88.1,346,81,107,43,rock,grass,60.4,3,0
"['Battle Armor', 'Swift Swim']",95,Old Shrimp Pokémon,50,0.7,45,Anorith,88.1,347,40,50,75,rock,bug,12.5,3,0
"['Battle Armor', 'Swift Swim']",125,Plate Pokémon,100,1.5,75,Armaldo,88.1,348,70,80,45,rock,bug,68.2,3,0
"['Swift Swim', 'Oblivious', 'Adaptability']",15,Fish Pokémon,20,0.6,20,Feebas,50.0,349,10,55,80,water,,7.4,3,0
"['Marvel Scale', 'Competitive', 'Cute Charm']",60,Tender Pokémon,79,6.2,95,Milotic,50.0,350,100,125,81,water,,162.0,3,0
['Forecast'],70,Weather Pokémon,70,0.3,70,Castform,50.0,351,70,70,70,normal,,0.8,3,0
"['Color Change', 'Protean']",90,Color Swap Pokémon,70,1.0,60,Kecleon,50.0,352,60,120,40,normal,,22.0,3,0
"['Insomnia', 'Frisk', 'Cursed Body']",75,Puppet Pokémon,35,0.6,44,Shuppet,50.0,353,63,33,45,ghost,,2.3,3,0
"['Insomnia', 'Frisk', 'Cursed Body']",165,Marionette Pokémon,75,1.1,64,Banette,50.0,354,93,83,75,ghost,,12.5,3,0
"['Levitate', 'Frisk']",40,Requiem Pokémon,90,0.8,20,Duskull,50.0,355,30,90,25,ghost,,15.0,3,0
"['Pressure', 'Frisk']",70,Beckon Pokémon,130,1.6,40,Dusclops,50.0,356,60,130,25,ghost,,30.6,3,0
"['Chlorophyll', 'Solar Power', 'Harvest']",68,Fruit Pokémon,83,2.0,99,Tropius,50.0,357,72,87,51,grass,flying,100.0,3,0
['Levitate'],50,Wind Chime Pokémon,80,0.6,75,Chimecho,50.0,358,95,90,65,psychic,,1.0,3,0
"['Pressure', 'Super Luck', 'Justified']",150,Disaster Pokémon,60,1.2,65,Absol,50.0,359,115,60,115,dark,,47.0,3,0
"['Shadow Tag', 'Telepathy']",23,Bright Pokémon,48,0.6,95,Wynaut,50.0,360,23,48,23,psychic,,14.0,3,0
"['Inner Focus', 'Ice Body', 'Moody']",50,Snow Hat Pokémon,50,0.7,50,Snorunt,50.0,361,50,50,50,ice,,16.8,3,0
"['Inner Focus', 'Ice Body', 'Moody']",120,Face Pokémon,80,1.5,80,Glalie,50.0,362,120,80,100,ice,,256.5,3,0
"['Thick Fat', 'Ice Body', 'Oblivious']",40,Clap Pokémon,50,0.8,70,Spheal,50.0,363,55,50,25,ice,water,39.5,3,0
"['Thick Fat', 'Ice Body', 'Oblivious']",60,Ball Roll Pokémon,70,1.1,90,Sealeo,50.0,364,75,70,45,ice,water,87.6,3,0
"['Thick Fat', 'Ice Body', 'Oblivious']",80,Ice Break Pokémon,90,1.4,110,Walrein,50.0,365,95,90,65,ice,water,150.6,3,0
"['Shell Armor', 'Rattled']",64,Bivalve Pokémon,85,0.4,35,Clamperl,50.0,366,74,55,32,water,,52.5,3,0
"['Swift Swim', 'Water Veil']",104,Deep Sea Pokémon,105,1.7,55,Huntail,50.0,367,94,75,52,water,,27.0,3,0
"['Swift Swim', 'Hydration']",84,South Sea Pokémon,105,1.8,55,Gorebyss,50.0,368,114,75,52,water,,22.6,3,0
"['Swift Swim', 'Rock Head', 'Sturdy']",90,Longevity Pokémon,130,1.0,100,Relicanth,88.1,369,45,65,55,water,rock,23.4,3,0
"['Swift Swim', 'Hydration']",30,Rendezvous Pokémon,55,0.6,43,Luvdisc,24.6,370,40,65,97,water,,8.7,3,0
"['Rock Head', 'Sheer Force']",75,Rock Head Pokémon,60,0.6,45,Bagon,50.0,371,40,30,50,dragon,,42.1,3,0
"['Rock Head', 'Overcoat']",95,Endurance Pokémon,100,1.1,65,Shelgon,50.0,372,60,50,50,dragon,,110.5,3,0
"['Intimidate', 'Moxie']",145,Dragon Pokémon,130,1.5,95,Salamence,50.0,373,120,90,120,dragon,flying,102.6,3,0
"['Clear Body', 'Light Metal']",55,Iron Ball Pokémon,80,0.6,40,Beldum,,374,35,60,30,steel,psychic,95.2,3,0
"['Clear Body', 'Light Metal']",75,Iron Claw Pokémon,100,1.2,60,Metang,,375,55,80,50,steel,psychic,202.5,3,0
"['Clear Body', 'Light Metal']",145,Iron Leg Pokémon,150,1.6,80,Metagross,,376,105,110,110,steel,psychic,550.0,3,0
"['Clear Body', 'Sturdy']",100,Rock Peak Pokémon,200,1.7,80,Regirock,,377,50,100,50,rock,,230.0,3,1
"['Clear Body', 'Ice Body']",50,Iceberg Pokémon,100,1.8,80,Regice,,378,100,200,50,ice,,175.0,3,1
